block,block_n,word_n,trial,stim_fr,stim_eng,animal,color,country,fruit,body,family,cat_to_memorize1,cat_to_memorize2,cat_to_memorize3,cat_to_memorize4,cat_to_memorize5
test,11,5,9,ours,bear,bear,NA,NA,strawberry,NA,sister,animal,color,fruit,family,country
test,11,5,10,coude,elbow,bear,NA,NA,strawberry,NA,sister,animal,color,fruit,family,country
test,11,5,11,vert,green,bear,green,NA,strawberry,NA,sister,animal,color,fruit,family,country
test,11,5,12,Chine,China,bear,green,China,strawberry,NA,sister,animal,color,fruit,family,country
test,12,5,1,vert,green,NA,green,NA,NA,NA,NA,fruit,animal,body,color,family
test,12,5,2,banane,banana,NA,green,NA,banana,NA,NA,fruit,animal,body,color,family
test,12,5,3,lion,lion,lion,green,NA,banana,NA,NA,fruit,animal,body,color,family
test,12,5,4,jaune,yellow,lion,yellow,NA,banana,NA,NA,fruit,animal,body,color,family
test,12,5,5,Italie,Italy,lion,yellow,NA,banana,NA,NA,fruit,animal,body,color,family
test,12,5,6,bleu,blue,lion,blue,NA,banana,NA,NA,fruit,animal,body,color,family
test,12,5,7,bras,arm,lion,blue,NA,banana,arm,NA,fruit,animal,body,color,family
test,12,5,8,pied,foot,lion,blue,NA,banana,foot,NA,fruit,animal,body,color,family
test,12,5,9,poire,pear,lion,blue,NA,pear,foot,NA,fruit,animal,body,color,family
test,12,5,10,frère,brother,lion,blue,NA,pear,foot,brother,fruit,animal,body,color,family
test,12,5,11,Brésil,Brazil,lion,blue,NA,pear,foot,brother,fruit,animal,body,color,family
test,12,5,12,chien,dog,dog,blue,NA,pear,foot,brother,fruit,animal,body,color,family
